provincia,ranking,IVD,nivel,D1_socioeconomica,D2_educativa,D3_desconfianza,norm_pobreza_por_ingresos,norm_pobreza_extrema_por_ingresos,norm_pobreza_multidimensional,norm_pobreza_por_nbi,norm_coeficiente_de_gini,norm_tasa_de_analfabetismo,norm_años_promedio_de_escolaridad,norm_tasa_neta_asistencia_secundaria,norm_tasa_neta_asistencia_bachillerato,norm_desconfianza_institucional_pct,bruto_pobreza_por_ingresos,bruto_pobreza_extrema_por_ingresos,bruto_pobreza_multidimensional,bruto_pobreza_por_nbi,bruto_coeficiente_de_gini,bruto_tasa_de_analfabetismo,bruto_años_promedio_de_escolaridad,bruto_tasa_neta_asistencia_secundaria,bruto_tasa_neta_asistencia_bachillerato,bruto_desconfianza_institucional_pct,desconfianza_bruta_pct,desconfianza_suavizada_pct,n_latinobarometro,confiabilidad_muestra_lb
Orellana,1,82.1,Muy alta,96.4,67.0,82.9,100.0,100.0,100.0,100.0,81.9,1.84,66.31,100.0,100.0,82.85,0.76,0.52,0.91,0.84,0.53,0.03,8.96,0.59,0.45,69.1,75.0,69.1,16,Baja (n<50)
Morona Santiago,2,73.6,Muy alta,85.8,61.6,73.3,81.89,77.61,91.68,83.05,94.65,34.3,59.5,59.77,92.64,73.33,0.65,0.41,0.84,0.71,0.56,0.09,9.27,0.72,0.48,68.24,70.4,68.2,24,Baja (n<50)
Esmeraldas,3,68.1,Alta,59.3,45.1,100.0,60.75,48.21,62.1,59.78,65.59,34.3,55.47,31.49,59.04,100.0,0.51,0.26,0.61,0.53,0.5,0.09,9.45,0.81,0.63,70.66,76.0,70.7,32,Baja (n<50)
Sucumbíos,4,65.3,Alta,76.7,41.0,78.3,72.11,74.8,69.91,66.49,100.0,22.06,54.89,37.4,49.66,78.3,0.58,0.4,0.67,0.58,0.57,0.07,9.48,0.8,0.67,68.69,71.8,68.7,24,Baja (n<50)
Bolívar,5,55.7,Alta,38.8,47.4,81.0,44.68,17.53,58.42,38.92,34.4,73.3,87.72,28.55,0.0,81.0,0.41,0.11,0.58,0.37,0.44,0.16,8.0,0.82,0.87,68.94,74.3,68.9,16,Baja (n<50)
Napo,6,52.3,Media,68.4,26.5,62.1,71.07,61.41,85.46,40.19,83.78,17.25,46.3,16.14,26.31,62.07,0.58,0.33,0.79,0.38,0.54,0.06,9.86,0.87,0.76,67.22,,67.2,0,Sin muestra (imputado nacional)
Pastaza,7,50.2,Media,56.6,31.9,62.1,50.58,45.28,66.49,39.02,81.5,12.18,25.79,27.32,62.23,62.07,0.44,0.25,0.64,0.37,0.53,0.05,10.78,0.83,0.61,67.22,,67.2,0,Sin muestra (imputado nacional)
Zamora Chinchipe,8,50.1,Media,44.1,44.2,62.1,34.28,33.72,54.78,32.17,65.71,3.73,45.52,57.76,69.63,62.07,0.34,0.19,0.55,0.32,0.5,0.03,9.9,0.73,0.58,67.22,,67.2,0,Sin muestra (imputado nacional)
Imbabura,9,48.0,Media,35.1,41.4,67.5,31.38,29.73,35.21,23.49,55.74,51.65,68.64,20.45,25.04,67.53,0.32,0.17,0.4,0.25,0.48,0.12,8.86,0.85,0.77,67.71,68.3,67.7,40,Baja (n<50)
Cañar,10,45.6,Media,34.6,56.4,45.8,20.92,13.55,73.62,63.14,1.63,60.78,100.0,28.58,36.34,45.77,0.25,0.09,0.7,0.56,0.38,0.13,7.45,0.82,0.72,65.74,61.1,65.7,16,Baja (n<50)
Carchi,11,43.3,Media,44.3,43.5,42.1,38.47,39.33,36.35,35.35,71.91,27.86,44.58,32.56,69.04,42.06,0.37,0.22,0.41,0.34,0.51,0.08,9.94,0.81,0.58,65.4,59.7,65.4,16,Baja (n<50)
Manabí,12,41.4,Media,27.1,29.3,67.7,22.87,7.78,40.25,47.53,16.97,35.62,54.65,10.48,16.45,67.69,0.27,0.06,0.44,0.44,0.41,0.09,9.49,0.89,0.8,67.73,68.0,67.7,112,Alta
El Oro,13,41.2,Media,6.7,17.5,99.3,0.0,0.0,12.36,14.65,6.72,0.0,25.32,16.48,28.12,99.28,0.12,0.03,0.22,0.18,0.39,0.03,10.8,0.87,0.76,70.6,74.1,70.6,48,Baja (n<50)
Guayas,14,39.0,Baja,19.8,22.1,75.2,14.01,5.38,26.37,28.96,24.46,15.04,30.56,17.99,24.97,75.17,0.21,0.05,0.33,0.29,0.42,0.05,10.57,0.86,0.77,68.41,68.6,68.4,304,Alta
Azuay,15,37.6,Baja,13.9,23.9,75.0,1.11,8.01,15.9,12.94,31.47,18.77,35.41,18.72,22.87,75.03,0.13,0.07,0.25,0.17,0.44,0.06,10.35,0.86,0.78,68.39,69.4,68.4,56,Media (n<100)
Santo Domingo,16,37.3,Baja,20.7,33.1,58.2,16.06,2.33,38.17,37.68,9.12,25.92,57.26,10.45,38.96,58.21,0.22,0.04,0.42,0.36,0.39,0.07,9.37,0.89,0.71,66.87,66.3,66.9,32,Baja (n<50)
Los Ríos,17,36.1,Baja,21.4,37.2,49.8,14.95,2.56,34.59,34.88,19.8,23.4,47.5,25.73,52.04,49.77,0.22,0.04,0.39,0.34,0.42,0.07,9.81,0.83,0.66,66.1,65.1,66.1,56,Media (n<100)
Chimborazo,18,33.6,Baja,37.7,40.6,22.4,29.87,15.07,64.2,20.24,58.95,66.19,64.6,17.42,14.22,22.39,0.31,0.1,0.63,0.23,0.49,0.14,9.04,0.86,0.81,63.62,58.0,63.6,32,Baja (n<50)
Cotopaxi,19,33.5,Baja,44.6,55.9,0.0,39.26,22.9,73.94,34.5,52.5,100.0,88.46,11.76,23.38,0.0,0.37,0.14,0.7,0.34,0.48,0.2,7.97,0.88,0.78,61.58,52.8,61.6,32,Baja (n<50)
Pichincha,20,27.4,Baja,9.5,5.0,67.7,1.08,3.22,0.0,3.14,39.86,2.64,0.0,1.92,15.3,67.69,0.13,0.04,0.12,0.09,0.45,0.03,11.94,0.91,0.81,67.73,67.8,67.7,232,Alta
Santa Elena,21,26.8,Baja,26.0,24.7,29.9,35.82,14.59,40.24,39.21,0.0,13.71,56.78,11.99,16.21,29.85,0.35,0.1,0.44,0.37,0.38,0.05,9.39,0.88,0.81,64.29,59.7,64.3,32,Baja (n<50)
Tungurahua,22,24.9,Muy baja,12.8,16.3,45.6,1.48,3.45,28.63,0.0,30.32,22.64,31.48,2.31,8.58,45.6,0.13,0.04,0.35,0.07,0.44,0.07,10.53,0.91,0.84,65.72,63.9,65.7,40,Baja (n<50)
Loja,23,18.0,Muy baja,26.2,9.1,18.6,20.41,13.74,26.75,20.36,49.52,2.35,27.74,0.0,6.42,18.58,0.25,0.09,0.33,0.23,0.47,0.03,10.69,0.92,0.85,63.27,58.3,63.3,40,Baja (n<50)
