ambito;provincia;cod_provincia_DPA;poblacion_2022;poblacion_16ymas_2022;pct_poblacion_nacional;superficie_km2;densidad_hab_km2;IVEI_indice_integrado;IVEI_puesto;IVEI_nivel;perfil_territorial;dim1_vulnerab_estructural;dim2_exposicion_informativa;dim3_resiliencia_informativa;dim4_presion_coyuntural;nucleo_media_geometrica;idx_exclusion_digital;idx_hiperexposicion_digital;IVD_original_fase1;IVD_d1_socioeconomica;IVD_d2_educativa;IVD_d3_desconfianza;bloque_estructural_censal;pct_urbano;pct_rural;pct_edad_0a14;pct_edad_15a29;pct_edad_30a44;pct_edad_45a64;pct_edad_65ymas;pct_mujeres;pct_etnia_mestiza;pct_etnia_indigena;pct_etnia_montubia;pct_etnia_afroecuatoriana;pct_etnia_blanca;pct_etnia_otra;pobreza_ingresos_pct_2024;pobreza_extrema_pct_2024;pobreza_multidimensional_pct_2024;pobreza_NBI_pct_2024;coef_gini_2024;pobreza_NBI_censal_pct_2022;escolaridad_prom_anios_24ymas;analfabetismo_pct_15ymas;analf_digital_pct_15ymas;analf_digital_pct_65ymas;analf_digital_pct_rural;uso_internet_pct_2022;uso_internet_pct_urbano_2022;uso_internet_pct_rural_2022;brecha_internet_urbano_rural_pp;uso_celular_pct_2022;uso_computadora_pct_2022;uso_internet_pct_2024_ENEMDU;usa_redes_sociales_pct;plataformas_por_persona_n;usa_facebook_whatsapp_o_tiktok_pct;usa_whatsapp_pct;plat_facebook_pct;plat_whatsapp_pct;plat_youtube_pct;plat_tiktok_pct;plat_instagram_pct;plat_x_pct;plat_snapchat_pct;plat_linkedin_pct;plat_otra_red_pct;percibe_info_falsa_promedio_pct;percibe_info_falsa_TV_pct;percibe_info_falsa_radio_pct;percibe_info_falsa_prensa_pct;percibe_info_falsa_redes_pct;confianza_interpersonal_pct;desconfianza_institucional_pct;elecciones_fraudulentas_pct;victima_delito_12meses_pct;temor_delito_violento_pct;narcotrafico_muy_grave_pct;percepcion_corrupcion_0a100;polarizacion_ideologica_pct;n_casos_latinobarometro;n_casos_enemdu_tic;confiabilidad_encuesta;norm_ruralidad;norm_envejecimiento;norm_nbi_censal;norm_analfabetismo;norm_uso_internet;norm_uso_celular;norm_internet_2024;norm_redes_sociales;norm_plataformas_rapidas;norm_alfabetizacion_digital;norm_escolaridad;norm_alfabetizacion;norm_conciencia_riesgo;norm_diversidad_fuentes;norm_confianza_interpersonal;norm_fraude_electoral;norm_victimizacion;norm_temor_delito;norm_narcotrafico;norm_corrupcion;norm_polarizacion;norm_no_usa_internet;norm_no_usa_celular;norm_analfabetismo_digital;norm_mensajeria;norm_baja_conciencia;cta_personas;cta_hombres;cta_mujeres;cta_edad_0a14;cta_edad_15a29;cta_edad_30a44;cta_edad_45a64;cta_edad_65ymas;cta_16ymas;cta_urbano;cta_rural;cta_nbi_pobres;cta_nbi_valid;cta_analfabetos_15mas;cta_analf_valid;cta_analf_digital;cta_adig_valid;cta_adig_65mas;cta_valid_65mas;cta_adig_rural;cta_valid_rural;cta_suma_anios_escolaridad;cta_casos_escolaridad;cta_usa_celular;cta_usa_internet;cta_usa_computadora;cta_tic_valid;cta_internet_rural;cta_tic_valid_rural;cta_internet_urbano;cta_tic_valid_urbano;cta_etnia_indigena;cta_etnia_afro;cta_etnia_montubia;cta_etnia_mestiza;cta_etnia_blanca;cta_etnia_otra
Provincia;Azuay;1;801609;595048;4,732;8066,760;99,372;50,302;12,000;Media;Alta exposición con capacidad de filtro;42,356;87,235;66,989;59,523;49,593;41,346;74,683;37,600;13,900;23,900;75,000;49,489;52,412;47,588;23,954;25,813;21,189;18,440;10,604;53,042;94,673;1,995;0,414;0,885;1,996;0,038;12,702;6,559;24,713;16,935;0,437;25,747;11,307;3,508;9,822;40,180;14,761;79,909;87,489;71,408;16,081;85,386;41,784;80,170;97,524;3,847;97,052;92,610;85,600;92,600;65,100;56,400;53,000;13,800;11,400;6,500;0,200;68,916;73,667;59,321;61,332;82,032;6,656;68,394;89,291;53,110;74,214;97,914;76,956;19,600;56;2340;Media (n<100);61,946;82,611;18,704;34,697;80,220;78,528;77,427;100,000;100,000;72,430;46,960;65,303;98,977;85,629;32,633;100,000;61,295;41,491;76,579;76,124;1,649;19,780;21,472;27,570;92,174;1,023;801609;376419;425190;192021;206919;169854;147815;85000;595048;420141;381468;205719;799010;21386;609588;59874;609588;34153;85000;41498;281129;5433307;480506;638256;597317;312335;747499;251619;352366;345698;395133;15992;7092;3315;758909;15998;303
Provincia;Bolívar;2;199078;144873;1,175;3932,204;50,628;59,366;2,000;Alta;Exclusión digital con carencia estructural;71,214;45,726;31,703;36,563;60,587;94,134;45,292;55,700;38,800;47,400;81,000;94,484;32,235;67,765;25,144;26,330;18,228;18,608;11,690;51,841;68,590;29,499;0,820;0,441;0,642;0,008;40,678;11,260;58,034;36,987;0,443;58,563;9,967;8,941;25,421;62,324;32,332;48,362;70,790;37,574;33,217;67,666;21,418;62,961;96,023;3,557;95,265;89,646;87,500;89,600;48,500;54,300;47,200;13,100;9,300;5,900;0,300;69,016;71,344;63,455;61,148;80,454;6,144;68,937;82,883;43,563;73,738;96,649;75,717;26,345;16;416;Baja (n<50);100,000;97,104;80,834;100,000;0,000;22,975;45,840;81,337;78,478;9,323;6,447;0,000;100,000;47,711;26,734;34,948;15,949;39,434;41,744;59,619;27,682;100,000;77,025;90,677;66,643;0,000;199078;95873;103205;50057;52417;36287;37045;23272;144873;64172;134906;116266;198533;13324;149021;37882;149021;14504;23272;32220;99653;1139852;114368;124750;89160;39486;184361;46773;124484;42387;59877;58727;877;1633;136547;1278;16
Provincia;Cañar;3;227578;162579;1,344;3250,752;70,008;57,427;5,000;Media;Perfil intermedio;57,447;58,544;43,047;47,485;57,644;66,478;53,615;45,600;34,600;56,400;45,800;75,217;44,423;55,577;26,571;24,578;19,113;18,101;11,636;53,865;82,654;14,708;0,511;0,982;1,134;0,011;25,419;9,295;69,946;55,679;0,380;39,184;9,753;7,554;15,394;49,375;19,448;68,782;76,958;62,198;14,760;78,213;26,099;71,782;94,508;3,860;93,750;88,131;86,000;88,100;60,700;60,400;54,800;17,600;9,300;8,900;0,300;65,102;69,829;58,910;56,602;75,403;7,659;65,401;82,883;52,653;76,769;98,165;73,747;24,729;16;494;Baja (n<50);77,012;96,385;44,144;83,325;51,926;56,042;62,030;62,496;60,227;49,887;0,000;16,675;60,166;87,349;44,204;34,948;59,126;52,524;83,488;33,377;21,445;48,074;43,958;50,113;53,590;39,834;227578;104994;122584;60470;55935;43498;41194;26481;162579;101098;126480;88943;226989;12623;167108;25725;167108;13075;26481;17927;92179;1276616;130893;163908;144143;54694;209565;72204;116087;71939;93478;33472;2234;1163;188103;2581;25
Provincia;Carchi;4;172828;129603;1,020;3740,384;46,206;54,016;8,000;Media;Perfil intermedio;47,747;57,523;37,299;30,587;55,636;56,486;65,842;43,300;44,300;43,500;42,100;54,417;50,893;49,107;23,166;25,285;20,416;20,457;10,676;51,077;89,588;4,244;0,282;5,151;0,675;0,060;36,687;22,016;40,744;34,233;0,514;33,358;10,198;3,631;16,102;51,217;22,256;65,457;75,703;54,742;20,961;77,928;30,253;74,095;94,508;3,587;93,750;89,646;84,500;89,600;50,100;55,800;50,300;14,600;9,300;4,400;0,300;59,547;62,253;49,819;52,057;74,393;7,659;65,738;79,852;46,593;72,223;95,134;76,474;31,194;16;576;Baja (n<50);64,811;83,575;33,114;36,167;43,470;55,146;66,276;62,496;60,227;47,023;13,429;63,833;3,627;51,675;44,204;4,185;30,342;32,889;0,000;69,711;46,395;56,530;44,854;52,977;66,643;96,373;172828;84553;88275;40038;43700;35284;35355;18451;129603;87957;84871;57301;171776;4821;132790;21382;132790;9450;18451;14305;64274;1075451;105461;125843;105704;48855;161487;43212;78938;62492;82549;7334;8902;488;154833;1167;104
Provincia;Cotopaxi;5;470210;340148;2,776;6043,221;77,808;57,502;4,000;Media;Perfil intermedio;51,657;64,605;40,222;39,399;58,431;73,677;69,114;33,500;44,600;55,900;0,000;78,893;33,279;66,721;25,670;26,676;20,539;17,612;9,502;51,593;73,473;23,701;1,136;0,983;0,691;0,015;37,199;13,911;70,194;33,576;0,477;48,562;10,007;7,920;18,589;57,684;23,688;59,986;76,569;51,698;24,871;74,722;28,301;74,912;96,799;3,729;96,189;92,886;81,400;92,900;54,900;66,900;50,200;10,500;8,700;7,200;0,200;65,001;69,264;59,442;54,095;76,636;8,604;61,583;81,345;53,355;71,545;98,523;71,619;25,974;32;424;Baja (n<50);98,030;67,917;61,899;87,728;29,558;45,095;67,776;90,987;89,606;36,960;7,682;12,272;59,136;70,189;55,094;19,334;62,459;29,961;93,355;5,031;26,251;70,442;54,905;63,040;94,553;40,864;470210;227616;242594;120705;125432;96577;82815;44681;340148;156481;313729;226102;465599;27681;349505;64971;349505;25774;44681;54957;232000;2695308;269332;324678;260648;122972;434517;149784;289727;110864;144790;111446;4624;5342;345479;3249;70
Provincia;Chimborazo;6;471933;349171;2,786;6500,665;72,598;58,566;3,000;Alta;Hiperexposición con baja resiliencia;50,985;68,739;37,026;29,412;60,433;70,719;78,378;33,600;37,700;40,600;22,400;77,063;47,606;52,394;24,111;26,052;19,681;18,771;11,385;52,650;60,677;37,877;0,225;0,462;0,746;0,013;31,164;10,044;62,564;22,570;0,490;42,755;10,554;8,384;17,184;52,632;25,844;63,349;81,019;47,146;33,873;77,014;35,394;77,602;96,799;3,716;96,189;91,667;86,300;91,700;59,800;58,300;49,000;13,000;8,700;4,700;0,200;60,257;64,229;53,431;50,947;72,859;9,823;63,616;87,094;43,599;67,336;96,084;71,242;30,759;32;419;Baja (n<50);71,011;93,037;50,904;93,302;38,110;52,281;72,713;90,987;89,606;42,647;24,201;6,698;10,860;68,594;69,156;77,698;16,123;11,779;26,157;0,000;44,717;61,890;47,719;57,353;84,047;89,140;471933;223460;248473;113788;122948;92880;88587;53730;349171;224667;247266;201201;470596;30026;358145;61543;358145;28279;53730;47619;184259;2943235;278870;338452;278399;155547;439471;108086;229258;170313;210213;178754;2178;1063;286356;3521;61
Provincia;El Oro;7;714592;521781;4,219;5817,847;122,828;48,505;13,000;Media;Alta exposición con capacidad de filtro;37,817;66,969;57,411;62,658;47,601;31,687;46,737;41,200;6,700;17,500;99,300;32,741;78,538;21,462;25,179;25,456;20,921;19,415;9,029;50,572;91,232;0,535;1,382;4,029;2,723;0,100;11,991;2,605;21,943;18,250;0,390;36,584;11,323;2,075;11,020;37,538;16,817;73,626;76,436;63,260;13,176;82,600;27,428;88,901;94,260;3,579;92,730;86,905;83,400;86,900;62,300;51,900;50,200;9,800;9,300;4,000;0,200;67,144;71,517;61,102;59,549;76,632;5,158;70,597;81,329;58,930;79,079;98,764;77,115;26,190;48;2833;Baja (n<50);12,674;61,603;39,221;17,468;64,245;69,794;93,452;59,420;47,936;67,585;47,416;82,532;80,942;50,623;15,366;19,177;88,936;62,503;100,000;78,251;27,083;35,755;30,206;32,415;43,024;19,058;714592;353211;361381;179929;181906;149498;138738;64521;521781;561225;153367;260570;712260;11094;534663;58918;534663;24220;64521;19122;113704;4762863;420653;544077;484971;180667;658691;88856;140462;396115;518229;3823;28788;9874;651937;19455;715
Provincia;Esmeraldas;8;553900;365455;3,270;15528,818;35,669;41,781;21,000;Baja;Exclusión digital con carencia estructural;66,980;14,969;35,216;76,265;40,198;75,065;10,953;68,100;59,300;45,100;100,000;65,300;44,879;55,121;31,788;26,626;18,797;15,788;7,001;51,463;39,490;3,353;1,690;53,789;1,647;0,031;50,991;26,404;60,917;53,083;0,502;62,971;10,285;5,724;26,066;53,726;34,076;49,589;63,136;38,370;24,766;64,100;17,077;69,835;89,482;3,192;88,872;81,911;76,500;81,900;44,000;49,800;44,100;8,100;11,100;3,500;0,200;64,086;68,399;54,732;56,534;76,950;12,498;70,662;87,442;54,575;73,984;98,523;78,504;39,254;32;1673;Baja (n<50);76,153;34,543;89,180;61,325;3,122;11,796;58,457;0,000;1,469;6,713;16,081;38,675;49,827;0,000;100,000;81,235;68,252;40,497;93,355;96,748;77,502;96,878;88,204;93,287;0,000;50,173;553900;268848;285052;176076;147480;104119;87447;38778;365455;248586;305314;346609;550425;21625;377824;98483;377824;20834;38778;69478;203894;2875704;279591;319490;247164;85117;498422;104612;272637;142552;225785;18572;297935;9360;218737;9124;172
Provincia;Guayas;9;4391923;3180508;25,928;15721,670;279,355;46,361;17,000;Media;Alta exposición con capacidad de filtro;35,517;70,906;62,614;62,731;45,492;32,467;45,546;39,000;19,800;22,100;75,200;30,292;85,258;14,742;25,724;25,673;20,754;19,474;8,375;50,949;81,026;1,287;8,398;5,443;3,643;0,202;20,986;5,261;32,925;29,297;0,424;39,114;11,629;2,641;12,296;35,970;25,480;70,415;74,674;45,357;29,317;80,705;29,745;89,717;95,869;3,578;93,750;84,793;83,500;84,800;51,400;54,500;53,400;14,000;9,900;5,300;0,900;68,311;68,580;57,515;60,791;86,434;7,078;68,407;79,440;56,306;87,759;98,524;76,877;27,321;304;3267;Alta;0,000;52,878;44,013;24,276;56,078;63,854;94,949;79,421;60,227;62,422;56,684;75,724;92,826;50,533;37,498;0,000;76,473;100,000;93,394;75,073;31,448;43,922;36,146;37,578;24,830;7,174;4391923;2154292;2237631;1129777;1127530;911499;855287;367830;3180508;3744462;647461;1711765;4376301;86164;3262146;401108;3262146;132307;367830;117905;462737;29694852;2553447;3267970;2851285;1204450;4049279;266852;588339;2584433;3460940;56546;239044;368848;3558619;159976;8890
Provincia;Imbabura;10;469879;349647;2,774;4808,559;97,717;56,141;7,000;Media;Perfil intermedio;52,780;58,032;44,532;59,103;55,385;54,104;55,115;48,000;35,100;41,400;67,500;59,950;52,275;47,725;23,631;26,569;20,726;18,805;10,268;51,768;64,895;28,006;0,257;5,773;1,042;0,029;32,133;17,278;39,849;25,078;0,483;32,662;10,691;6,251;13,539;50,297;19,559;71,490;81,067;60,839;20,227;81,765;36,851;76,639;93,750;3,564;92,083;87,963;85,300;88,000;56,700;52,000;44,600;10,700;12,400;5,400;1,300;62,001;61,806;56,651;54,900;78,771;10,061;67,714;87,447;53,057;76,297;96,432;78,748;25,923;40;1296;Baja (n<50);62,205;78,138;31,796;67,662;58,812;67,177;70,946;53,076;40,152;57,391;28,326;32,338;28,604;48,636;71,899;81,287;61,043;50,487;35,748;100,000;26,052;41,188;32,823;42,609;52,140;71,396;469879;226633;243246;111039;124841;97388;88362;48249;349647;245628;224251;153025;468517;22430;358840;48585;358840;24268;48249;32691;167141;2993474;280007;358749;313666;161686;438756;126386;207737;187280;231019;131592;27124;1209;304926;4894;134
